,Side,Type,Metric,Value
93,head,realistic,adjusted_arithmetic_mean_rank,0.3467199082941711
94,tail,realistic,adjusted_arithmetic_mean_rank,0.021768530737281494
95,both,realistic,adjusted_arithmetic_mean_rank,0.17945203460912268
96,head,pessimistic,adjusted_arithmetic_mean_rank,0.34671998886982236
97,tail,pessimistic,adjusted_arithmetic_mean_rank,0.02176853645616609
98,both,pessimistic,adjusted_arithmetic_mean_rank,0.17945207757400589
99,head,optimistic,count,10311.0
100,tail,optimistic,count,10311.0
101,both,optimistic,count,20622.0
102,head,realistic,count,10311.0
103,tail,realistic,count,10311.0
104,both,realistic,count,20622.0
105,head,pessimistic,count,10311.0
106,tail,pessimistic,count,10311.0
107,both,pessimistic,count,20622.0
108,head,optimistic,standard_deviation,2980.6653491961797
109,tail,optimistic,standard_deviation,802.1552763884591
110,both,optimistic,standard_deviation,2540.51379516379
111,head,realistic,standard_deviation,2980.665771484375
112,tail,realistic,standard_deviation,802.1560668945312
113,both,realistic,standard_deviation,2540.514404296875
114,head,pessimistic,standard_deviation,2980.6661909780228
115,tail,pessimistic,standard_deviation,802.1569494526622
116,both,pessimistic,standard_deviation,2540.5149005288895
117,head,optimistic,inverse_arithmetic_mean_rank,0.00035896791033677186
118,tail,optimistic,inverse_arithmetic_mean_rank,0.005389878883237587
119,both,optimistic,inverse_arithmetic_mean_rank,0.0006731066696182132
120,head,realistic,inverse_arithmetic_mean_rank,0.00035896780900657177
121,tail,realistic,inverse_arithmetic_mean_rank,0.00538987759500742
122,both,realistic,inverse_arithmetic_mean_rank,0.0006731064640916884
123,head,pessimistic,inverse_arithmetic_mean_rank,0.0003589677228798423
124,tail,pessimistic,inverse_arithmetic_mean_rank,0.00538987606578252
125,both,pessimistic,inverse_arithmetic_mean_rank,0.0006731063180927726
126,head,optimistic,geometric_mean_rank,1114.1417577428235
127,tail,optimistic,geometric_mean_rank,12.632753066661255
128,both,optimistic,geometric_mean_rank,118.63674686546749
129,head,realistic,geometric_mean_rank,1114.1422119140625
130,tail,realistic,geometric_mean_rank,12.63275146484375
131,both,realistic,geometric_mean_rank,118.63680267333984
132,head,pessimistic,geometric_mean_rank,1114.1425368546315
133,tail,pessimistic,geometric_mean_rank,12.632753154026922
134,both,pessimistic,geometric_mean_rank,118.63678875663282
135,head,optimistic,adjusted_geometric_mean_rank_index,0.8108799857413591
136,tail,optimistic,adjusted_geometric_mean_rank_index,0.9981452673593142
137,both,optimistic,adjusted_geometric_mean_rank_index,0.9806381711645265
138,head,realistic,adjusted_geometric_mean_rank_index,0.810879908578796
139,tail,realistic,adjusted_geometric_mean_rank_index,0.9981452676147089
140,both,realistic,adjusted_geometric_mean_rank_index,0.9806381619791104
141,head,pessimistic,adjusted_geometric_mean_rank_index,0.810879853372202
142,tail,pessimistic,adjusted_geometric_mean_rank_index,0.9981452673453846
143,both,pessimistic,adjusted_geometric_mean_rank_index,0.9806381642696608
144,head,optimistic,arithmetic_mean_rank,2785.764329356997
145,tail,optimistic,arithmetic_mean_rank,185.53292600135777
146,both,optimistic,arithmetic_mean_rank,1485.6486276791775
