,Side,Type,Metric,Value
92,both,optimistic,inverse_arithmetic_mean_rank,0.007389814749310237
93,head,realistic,inverse_arithmetic_mean_rank,0.004107939079403877
94,tail,realistic,inverse_arithmetic_mean_rank,0.036748889833688736
95,both,realistic,inverse_arithmetic_mean_rank,0.007389814592897892
96,head,pessimistic,inverse_arithmetic_mean_rank,0.004107939019128434
97,tail,pessimistic,inverse_arithmetic_mean_rank,0.03674888929095551
98,both,pessimistic,inverse_arithmetic_mean_rank,0.007389814749310237
99,head,optimistic,geometric_mean_rank,88.52729475642137
100,tail,optimistic,geometric_mean_rank,6.698776915961115
101,both,optimistic,geometric_mean_rank,24.35209638915717
102,head,realistic,geometric_mean_rank,88.52727508544922
103,tail,realistic,geometric_mean_rank,6.698777198791504
104,both,realistic,geometric_mean_rank,24.352094650268555
105,head,pessimistic,geometric_mean_rank,88.52729475642137
106,tail,pessimistic,geometric_mean_rank,6.698776915961115
107,both,pessimistic,geometric_mean_rank,24.35209638915717
108,head,optimistic,arithmetic_mean_rank,243.43107221006565
109,tail,optimistic,arithmetic_mean_rank,27.211706783369802
110,both,optimistic,arithmetic_mean_rank,135.32138949671773
111,head,realistic,arithmetic_mean_rank,243.4310760498047
112,tail,realistic,arithmetic_mean_rank,27.211706161499023
113,both,realistic,arithmetic_mean_rank,135.32139587402344
114,head,pessimistic,arithmetic_mean_rank,243.43107221006565
115,tail,pessimistic,arithmetic_mean_rank,27.211706783369802
116,both,pessimistic,arithmetic_mean_rank,135.32138949671773
117,head,optimistic,median_absolute_deviation,174.20576067440822
118,tail,optimistic,median_absolute_deviation,7.41301109252801
119,both,optimistic,median_absolute_deviation,32.61724880712324
120,head,realistic,median_absolute_deviation,174.20576067440822
121,tail,realistic,median_absolute_deviation,7.41301109252801
122,both,realistic,median_absolute_deviation,32.61724880712324
123,head,pessimistic,median_absolute_deviation,174.20576067440822
124,tail,pessimistic,median_absolute_deviation,7.41301109252801
125,both,pessimistic,median_absolute_deviation,32.61724880712324
126,head,optimistic,adjusted_arithmetic_mean_rank,0.26233072363609894
127,tail,optimistic,adjusted_arithmetic_mean_rank,0.026958513544968928
128,both,optimistic,adjusted_arithmetic_mean_rank,0.1396976396806976
129,head,realistic,adjusted_arithmetic_mean_rank,0.26233072777395
130,tail,realistic,adjusted_arithmetic_mean_rank,0.026958512928884387
131,both,realistic,adjusted_arithmetic_mean_rank,0.1396976462642433
